question,questionLabel,included in safe data?
linkID,linkID,Yes
StartDate,StartDate,Yes
Q5,The region that you live in is:,
Q7,When was your house built?,Yes
Q10#1_1_1_TEXT,How many rooms does your dwelling have and which do you heat / regularly? â€“ (please write the number of rooms in the boxes / provided) : Number of-Bedrooms-Rooms,Yes
Q10#1_1_2_TEXT,How many rooms does your dwelling have and which do you heat / regularly? â€“ (please write the number of rooms in the boxes / provided) : Number of-Bedrooms-Rooms heated regularly,Yes
Q10#1_2_1_TEXT,How many rooms does your dwelling have and which do you heat / regularly? â€“ (please write the number of rooms in the boxes / provided) : Number of-Lounges or living rooms-Rooms,Yes
Q10#1_2_2_TEXT,How many rooms does your dwelling have and which do you heat / regularly? â€“ (please write the number of rooms in the boxes / provided) : Number of-Lounges or living rooms-Rooms heated regularly,Yes
Q10#1_3_1_TEXT,How many rooms does your dwelling have and which do you heat / regularly? â€“ (please write the number of rooms in the boxes / provided) : Number of-Dining rooms or kitchen/dining rooms-Rooms,Yes
Q10#1_3_2_TEXT,How many rooms does your dwelling have and which do you heat / regularly? â€“ (please write the number of rooms in the boxes / provided) : Number of-Dining rooms or kitchen/dining rooms-Rooms heated regularly,Yes
Q10#1_4_1_TEXT,How many rooms does your dwelling have and which do you heat / regularly? â€“ (please write the number of rooms in the boxes / provided) : Number of-Separate Kitchens-Rooms,Yes
Q10#1_4_2_TEXT,How many rooms does your dwelling have and which do you heat / regularly? â€“ (please write the number of rooms in the boxes / provided) : Number of-Separate Kitchens-Rooms heated regularly,Yes
Q10#1_5_1_TEXT,How many rooms does your dwelling have and which do you heat / regularly? â€“ (please write the number of rooms in the boxes / provided) : Number of-Studies or offices-Rooms,Yes
Q10#1_5_2_TEXT,How many rooms does your dwelling have and which do you heat / regularly? â€“ (please write the number of rooms in the boxes / provided) : Number of-Studies or offices-Rooms heated regularly,Yes
Q10#1_6_1_TEXT,How many rooms does your dwelling have and which do you heat / regularly? â€“ (please write the number of rooms in the boxes / provided) : Number of-Bathrooms-Rooms,Yes
Q10#1_6_2_TEXT,How many rooms does your dwelling have and which do you heat / regularly? â€“ (please write the number of rooms in the boxes / provided) : Number of-Bathrooms-Rooms heated regularly,Yes
Q10#1_7_1_TEXT,How many rooms does your dwelling have and which do you heat / regularly? â€“ (please write the number of rooms in the boxes / provided) : Number of-Separate toilets-Rooms,Yes
Q10#1_7_2_TEXT,How many rooms does your dwelling have and which do you heat / regularly? â€“ (please write the number of rooms in the boxes / provided) : Number of-Separate toilets-Rooms heated regularly,Yes
Q10#1_8_1_TEXT,How many rooms does your dwelling have and which do you heat / regularly? â€“ (please write the number of rooms in the boxes / provided) : Number of-Laundries-Rooms,Yes
Q10#1_8_2_TEXT,How many rooms does your dwelling have and which do you heat / regularly? â€“ (please write the number of rooms in the boxes / provided) : Number of-Laundries-Rooms heated regularly,Yes
Q11_1,How many hours of direct sunshine would your house get on a clear / winterâ€™s day in June-July?-Hours,Yes
Q14_1,How long have you lived in your current house? (in years) -Years,Yes
Q15_1,How much longer do you plan to live in your house?-Years,Yes
Q17_1,What temperature do you set your main living area at in degrees / Celsius?-Degrees Celsius,Yes
Q18_1,"What temperature would you like your main living area to be, in / degrees Celsius?-Degrees Celsius",Yes
Q30_1,"What temperature do you set your heat pump to for cooling, in / degrees Celcius?-Degrees Celsius",Yes
Q33_1,"If known, what temperature do you set your hot water to?  / (degrees Celsius)-Degrees Celsius",Yes
Q53_1,What are your households approximate monthly energy bills in the / SUMMER? (dollars)-Electricity                                                                                                 ,Yes
Q53_2,What are your households approximate monthly energy bills in the / SUMMER? (dollars)-Gas                                                                                                           ,Yes
Q53_3,What are your households approximate monthly energy bills in the / SUMMER? (dollars)-Coal                                                                                                          ,Yes
Q53_4,What are your households approximate monthly energy bills in the / SUMMER? (dollars)-Wood                                                                                                        ,Yes
Q53_5,What are your households approximate monthly energy bills in the / SUMMER? (dollars)-Petrol,Yes
Q53_6,What are your households approximate monthly energy bills in the / SUMMER? (dollars)-Diesel,Yes
Q53_7,What are your households approximate monthly energy bills in the / SUMMER? (dollars)-Other,Yes
Q54_1,What are your household approximate monthly energy bills in the / WINTER? (dollars) -Electricity                                                                                                 ,Yes
Q54_2,What are your household approximate monthly energy bills in the / WINTER? (dollars) -Gas                                                                                                           ,Yes
Q54_3,What are your household approximate monthly energy bills in the / WINTER? (dollars) -Coal                                                                                                          ,Yes
Q54_4,What are your household approximate monthly energy bills in the / WINTER? (dollars) -Wood                                                                                                        ,Yes
Q54_5,What are your household approximate monthly energy bills in the / WINTER? (dollars) -Petrol  ,Yes
Q54_6,What are your household approximate monthly energy bills in the / WINTER? (dollars) -Diesel,Yes
Q54_7,What are your household approximate monthly energy bills in the / WINTER? (dollars) -Other,Yes
Q57,How many people live in your household?,Yes
Q4,Your age is:,Yes (coded)
Q55,What is your approximate combined household income before / tax? ,Yes (coded)
ResponseID,ResponseID,
ResponseSet,ResponseSet,
Name,Name,
ExternalDataReference,ExternalDataReference,
EmailAddress,EmailAddress,
IPAddress,IPAddress,
Status,Status,
EndDate,EndDate,
Finished,Finished,
RespondentID,RespondentID,
HomeAddress,HomeAddress,
HomeLat,HomeLat,
HomeLng,HomeLng,
WorkAddress,WorkAddress,
WorkLat,WorkLat,
WorkLng,WorkLng,
PreSchoolAddress,PreSchoolAddress,
PreSchoolLat,PreSchoolLat,
PreSchoolLng,PreSchoolLng,
PriSchoolAddress,PriSchoolAddress,
PriSchoolLat,PriSchoolLat,
PriSchoolLng,PriSchoolLng,
IntSchoolAddress,IntSchoolAddress,
IntSchoolLat,IntSchoolLat,
IntSchoolLng,IntSchoolLng,
SecSchoolAddress,SecSchoolAddress,
SecSchoolLat,SecSchoolLat,
SecSchoolLng,SecSchoolLng,
WorkName,WorkName,
ShopName,ShopName,
PreSchoolName,PreSchoolName,
PriSchoolName,PriSchoolName,
IntSchoolName,IntSchoolName,
SecSchoolName,SecSchoolName,
WorkNameSearched,WorkNameSearched,
ShopNameSearched,ShopNameSearched,
PreSchoolNameSearched,PreSchoolNameSearched,
PriSchoolNameSearched,PriSchoolNameSearched,
IntSchoolNameSearched,IntSchoolNameSearched,
SecSchoolNameSearched,SecSchoolNameSearched,
Q1,"The Centre for Sustainability (CSAFE) at the University of Otago, /  is researching New Zealanders'...",
Q2,"By clicking on this link, I confirm that I agree to participate in / this research.",
Q3,"Before proceeding to the survey I need to check that you would be / representative of the population. That is there aren't too many / people from one area, age or gender. Are you:",
Q113,What is the address of your house? (This information is used solely / to identify suitable subjects...,
linkID,To link to grid spy data,
Q114,What is the best way to contact you? (email address or phone / number),
Q6,What type of dwelling do you live in?Â  (please select the /  option which applies to you),
Q8,How are your external walls constructed?,
Q9,What are the external walls of your house constructed from?,
Q12,Do you rent or own the dwelling you live in?,
Q13,Please specify your other situation,
Q16,Can you apply a temperature setting to your main living area (e.g. / with a thermostat for heat pump or central heating)?,
Q19_1,Which of the following methods do you have available for heating / your house? -Heat pump,
Q19_2,Which of the following methods do you have available for heating / your house? -Electric night-store,
Q19_3,Which of the following methods do you have available for heating / your house? -Portable electric heaters,
Q19_4,Which of the following methods do you have available for heating / your house? -Electric heaters fixed in place,
Q19_5,Which of the following methods do you have available for heating / your house? -Enclosed coal burner,
Q19_6,Which of the following methods do you have available for heating / your house? -Enclosed wood burner,
Q19_7,Which of the following methods do you have available for heating / your house? -Portable gas heater,
Q19_8,Which of the following methods do you have available for heating / your house? -Gas heaters fixed in place,
Q19_9,Which of the following methods do you have available for heating / your house? -Central heating â€“ gas (flued),
Q19_10,Which of the following methods do you have available for heating / your house? -Central heating â€“ electric,
Q19_11,Which of the following methods do you have available for heating / your house? -DVS or other heat transfer system,
Q19_12,Which of the following methods do you have available for heating / your house? -HRV or other ventilation system,
Q19_13,Which of the following methods do you have available for heating / your house? -Underfloor electric heating,
Q19_14,Which of the following methods do you have available for heating / your house? -Underfloor gas heating,
Q19_15,Which of the following methods do you have available for heating / your house? -Open fire,
Q19_16,Which of the following methods do you have available for heating / your house? -Other,
Q19_17,Which of the following methods do you have available for heating / your house? -Central heating pellet burner,
Q20,Which of the following is your main method of heating?,
Q21,Do you use any heat transfer ducts to spread the heat between / rooms?,
Q22,Have you changed your main method of heating in the past year?,
Q23,What was your main method of heating previously?,
Q24,Why did you change your main method of heating?,
Q25,How satisfactory is your main method heating? (please choose one),
Q26,Why are you unhappy with your main method of heating?,
Q27,What alternative heating method would you consider purchasing?,
Q28_1_1,What times during the day do you typically have heating on in your / house (select as many as appropriate for both the week and the / weekend/holidays)?-During the week (Monday- Friday)-7am-9am,
Q28_1_2,What times during the day do you typically have heating on in your / house (select as many as appropriate for both the week and the / weekend/holidays)?-During the week (Monday- Friday)-9am-12pm,
Q28_1_3,What times during the day do you typically have heating on in your / house (select as many as appropriate for both the week and the / weekend/holidays)?-During the week (Monday- Friday)-12pm-3pm,
Q28_1_4,What times during the day do you typically have heating on in your / house (select as many as appropriate for both the week and the / weekend/holidays)?-During the week (Monday- Friday)-3pm-6pm,
Q28_1_5,What times during the day do you typically have heating on in your / house (select as many as appropriate for both the week and the / weekend/holidays)?-During the week (Monday- Friday)-6pm-9pm,
Q28_1_6,What times during the day do you typically have heating on in your / house (select as many as appropriate for both the week and the / weekend/holidays)?-During the week (Monday- Friday)-9pm-7am,
Q28_2_1,What times during the day do you typically have heating on in your / house (select as many as appropriate for both the week and the / weekend/holidays)?-During the weekend and holidays-7am-9am,
Q28_2_2,What times during the day do you typically have heating on in your / house (select as many as appropriate for both the week and the / weekend/holidays)?-During the weekend and holidays-9am-12pm,
Q28_2_3,What times during the day do you typically have heating on in your / house (select as many as appropriate for both the week and the / weekend/holidays)?-During the weekend and holidays-12pm-3pm,
Q28_2_4,What times during the day do you typically have heating on in your / house (select as many as appropriate for both the week and the / weekend/holidays)?-During the weekend and holidays-3pm-6pm,
Q28_2_5,What times during the day do you typically have heating on in your / house (select as many as appropriate for both the week and the / weekend/holidays)?-During the weekend and holidays-6pm-9pm,
Q28_2_6,What times during the day do you typically have heating on in your / house (select as many as appropriate for both the week and the / weekend/holidays)?-During the weekend and holidays-9pm-7am,
Q29,Do you also use your heat pump for cooling?,
Q31_1_1,When do you typically use your heat pump for cooling (please tick / all appropriate for both week days and weekends/holidays)?-Week days-7am-9am,
Q31_1_2,When do you typically use your heat pump for cooling (please tick / all appropriate for both week days and weekends/holidays)?-Week days-9am-12pm,
Q31_1_3,When do you typically use your heat pump for cooling (please tick / all appropriate for both week days and weekends/holidays)?-Week days-12pm-3pm,
Q31_1_4,When do you typically use your heat pump for cooling (please tick / all appropriate for both week days and weekends/holidays)?-Week days-3pm-6pm,
Q31_1_5,When do you typically use your heat pump for cooling (please tick / all appropriate for both week days and weekends/holidays)?-Week days-6pm-9pm,
Q31_1_6,When do you typically use your heat pump for cooling (please tick / all appropriate for both week days and weekends/holidays)?-Week days-9pm-7am,
Q31_2_1,When do you typically use your heat pump for cooling (please tick / all appropriate for both week days and weekends/holidays)?-Week ends/holidays-7am-9am,
Q31_2_2,When do you typically use your heat pump for cooling (please tick / all appropriate for both week days and weekends/holidays)?-Week ends/holidays-9am-12pm,
Q31_2_3,When do you typically use your heat pump for cooling (please tick / all appropriate for both week days and weekends/holidays)?-Week ends/holidays-12pm-3pm,
Q31_2_4,When do you typically use your heat pump for cooling (please tick / all appropriate for both week days and weekends/holidays)?-Week ends/holidays-3pm-6pm,
Q31_2_5,When do you typically use your heat pump for cooling (please tick / all appropriate for both week days and weekends/holidays)?-Week ends/holidays-6pm-9pm,
Q31_2_6,When do you typically use your heat pump for cooling (please tick / all appropriate for both week days and weekends/holidays)?-Week ends/holidays-9pm-7am,
Q32_1,Which of the following methods do you use for heating your water?-Cylinder - Solar,
Q32_2,Which of the following methods do you use for heating your water?-Cylinder - Electric,
Q32_3,Which of the following methods do you use for heating your water?-Cylinder - Gas,
Q32_4,Which of the following methods do you use for heating your water?-Cylinder - Wood (wetback),
Q32_5,Which of the following methods do you use for heating your water?-Cylinder - Heatpump,
Q32_6,Which of the following methods do you use for heating your water?-Instant - Gas,
Q32_7,Which of the following methods do you use for heating your water?-Combination (e.g. solar with instant gas or electric backup),
Q32_8,Which of the following methods do you use for heating your water?-Other,
Q34_1,What facilities does your household have and use? -Shower,
Q34_2,What facilities does your household have and use? -Bath,
Q35_1_TEXT,Typically how many baths does your household have each morning?-Week days,
Q35_2_TEXT,Typically how many baths does your household have each morning?-Week ends/holidays,
Q36_1_TEXT,Typically how many showers does your household have each morning?-Week days,
Q36_2_TEXT,Typically how many showers does your household have each morning?-Week ends/holidays,
Q37_1_TEXT,Typically how many baths does your household have each evening?-Week days,
Q37_2_TEXT,Typically how many baths does your household have each evening?-Week ends/holidays,
Q38_1_TEXT,Typically how many showers does your household have each evening?-Week days,
Q38_2_TEXT,Typically how many showers does your household have each evening?-Week ends/holidays,
Q39,Has your cylinder been fitted with any extra insulation wrapping? / (for example a woollen or fibreglass wrap),
Q40_1,Please indicate which of the following appliances you own and /  use:-Dehumidifier,
Q40_2,Please indicate which of the following appliances you own and /  use:-Dishwasher,
Q40_3,Please indicate which of the following appliances you own and /  use:-Separate deep-freezer,
Q40_4,Please indicate which of the following appliances you own and /  use:-Fridge/freezer,
Q40_5,Please indicate which of the following appliances you own and /  use:-Clothes dryer,
Q40_6,Please indicate which of the following appliances you own and /  use:-Plasma screen TV,
Q40_7,Please indicate which of the following appliances you own and /  use:-LCD or LED Screen TV,
Q40_9,Please indicate which of the following appliances you own and /  use:-Video recorder or Digital recorder (hard disc),
Q40_10,Please indicate which of the following appliances you own and /  use:-DVD/Bluray player,
Q40_11,Please indicate which of the following appliances you own and /  use:-Games console,
Q40_12,Please indicate which of the following appliances you own and /  use:-Home computer â€“ Desktop,
Q40_13,Please indicate which of the following appliances you own and /  use:-Laptop computer,
Q40_14,Please indicate which of the following appliances you own and /  use:-Heated towel rail,
Q40_15,Please indicate which of the following appliances you own and /  use:-Electric blanket,
Q40_16,Please indicate which of the following appliances you own and /  use:-Heated swimming pool,
Q40_17,Please indicate which of the following appliances you own and /  use:-Front load washing machine,
Q40_18,Please indicate which of the following appliances you own and /  use:-Top load washing machine,
Q40_19,Please indicate which of the following appliances you own and /  use:-Toaster,
Q40_20,Please indicate which of the following appliances you own and /  use:-Microwave,
Q40_21,Please indicate which of the following appliances you own and /  use:-Second fridge/garage fridge,
Q40_38,Please indicate which of the following appliances you own and /  use:-Spa pool,
Q41_x1,Do any of the appliances that you have include a delay function / that you use? -Dehumidifier,
Q41_x2,Do any of the appliances that you have include a delay function / that you use? -Dishwasher,
Q41_x3,Do any of the appliances that you have include a delay function / that you use? -Separate deep-freezer,
Q41_x4,Do any of the appliances that you have include a delay function / that you use? -Fridge/freezer,
Q41_x21,Do any of the appliances that you have include a delay function / that you use? -Second fridge/garage fridge,
Q41_x5,Do any of the appliances that you have include a delay function / that you use? -Clothes dryer,
Q41_x6,Do any of the appliances that you have include a delay function / that you use? -Plasma screen TV,
Q41_x7,Do any of the appliances that you have include a delay function / that you use? -LCD or LED Screen TV,
Q41_x9,Do any of the appliances that you have include a delay function / that you use? -Video recorder or Digital recorder (hard disc),
Q41_x10,Do any of the appliances that you have include a delay function / that you use? -DVD/Bluray player,
Q41_x11,Do any of the appliances that you have include a delay function / that you use? -Games console,
Q41_x12,Do any of the appliances that you have include a delay function / that you use? -Home computer â€“ Desktop,
Q41_x13,Do any of the appliances that you have include a delay function / that you use? -Laptop computer,
Q41_x14,Do any of the appliances that you have include a delay function / that you use? -Heated towel rail,
Q41_x15,Do any of the appliances that you have include a delay function / that you use? -Electric blanket,
Q41_x16,Do any of the appliances that you have include a delay function / that you use? -Heated swimming pool,
Q41_x17,Do any of the appliances that you have include a delay function / that you use? -Front load washing machine,
Q41_x18,Do any of the appliances that you have include a delay function / that you use? -Top load washing machine,
Q41_x19,Do any of the appliances that you have include a delay function / that you use? -Toaster,
Q41_x20,Do any of the appliances that you have include a delay function / that you use? -Microwave,
Q41_x38,Do any of the appliances that you have include a delay function / that you use? -Spa pool,
Q42_1,How many televisions are there in your household?-&nbsp;,
Q43,What setting do you usually set your washing machine to?,
Q44_1,What temperature do you usually wash with?-Degrees Celsius,
Q45_1_1,When do you typically use your washing machine? Please answer for / week days and weekends/holidays.-Weekdays-7am-9am,
Q45_1_2,When do you typically use your washing machine? Please answer for / week days and weekends/holidays.-Weekdays-9am-12pm,
Q45_1_3,When do you typically use your washing machine? Please answer for / week days and weekends/holidays.-Weekdays-12pm-3pm,
Q45_1_4,When do you typically use your washing machine? Please answer for / week days and weekends/holidays.-Weekdays-3pm-6pm,
Q45_1_5,When do you typically use your washing machine? Please answer for / week days and weekends/holidays.-Weekdays-6pm-9pm,
Q45_1_6,When do you typically use your washing machine? Please answer for / week days and weekends/holidays.-Weekdays-9pm-7am,
Q45_1_7,When do you typically use your washing machine? Please answer for / week days and weekends/holidays.-Weekdays-At any time of day,
Q45_2_1,When do you typically use your washing machine? Please answer for / week days and weekends/holidays.-Week ends/holidays-7am-9am,
Q45_2_2,When do you typically use your washing machine? Please answer for / week days and weekends/holidays.-Week ends/holidays-9am-12pm,
Q45_2_3,When do you typically use your washing machine? Please answer for / week days and weekends/holidays.-Week ends/holidays-12pm-3pm,
Q45_2_4,When do you typically use your washing machine? Please answer for / week days and weekends/holidays.-Week ends/holidays-3pm-6pm,
Q45_2_5,When do you typically use your washing machine? Please answer for / week days and weekends/holidays.-Week ends/holidays-6pm-9pm,
Q45_2_6,When do you typically use your washing machine? Please answer for / week days and weekends/holidays.-Week ends/holidays-9pm-7am,
Q45_2_7,When do you typically use your washing machine? Please answer for / week days and weekends/holidays.-Week ends/holidays-At any time of day,
Q46_1_1,When do you typically use your dish washer? Please answer for week / days and weekends/holidays. -Week days-7am-9am,
Q46_1_2,When do you typically use your dish washer? Please answer for week / days and weekends/holidays. -Week days-9am-12pm,
Q46_1_3,When do you typically use your dish washer? Please answer for week / days and weekends/holidays. -Week days-12pm-3pm,
Q46_1_4,When do you typically use your dish washer? Please answer for week / days and weekends/holidays. -Week days-3pm-6pm,
Q46_1_5,When do you typically use your dish washer? Please answer for week / days and weekends/holidays. -Week days-6pm-9pm,
Q46_1_6,When do you typically use your dish washer? Please answer for week / days and weekends/holidays. -Week days-9pm-7am,
Q46_1_7,When do you typically use your dish washer? Please answer for week / days and weekends/holidays. -Week days-At any time of day,
Q46_2_1,When do you typically use your dish washer? Please answer for week / days and weekends/holidays. -Week ends/holidays-7am-9am,
Q46_2_2,When do you typically use your dish washer? Please answer for week / days and weekends/holidays. -Week ends/holidays-9am-12pm,
Q46_2_3,When do you typically use your dish washer? Please answer for week / days and weekends/holidays. -Week ends/holidays-12pm-3pm,
Q46_2_4,When do you typically use your dish washer? Please answer for week / days and weekends/holidays. -Week ends/holidays-3pm-6pm,
Q46_2_5,When do you typically use your dish washer? Please answer for week / days and weekends/holidays. -Week ends/holidays-6pm-9pm,
Q46_2_6,When do you typically use your dish washer? Please answer for week / days and weekends/holidays. -Week ends/holidays-9pm-7am,
Q46_2_7,When do you typically use your dish washer? Please answer for week / days and weekends/holidays. -Week ends/holidays-At any time of day,
Q47_1,Which dishwasher settings do you typically use?-Quick/Eco wash,
Q47_2,Which dishwasher settings do you typically use?-Normal wash,
Q47_3,Which dishwasher settings do you typically use?-Heavy/pot wash,
Q48_1,How often do you cook the following?-Breakfast (hot),
Q48_2,How often do you cook the following?-Lunch (cooked),
Q48_3,How often do you cook the following?-Dinner (cooked),
Q48_4,How often do you cook the following?-Baking,
Q49,What type are the majority of your light bulbs?,Yes
Q50,When do you use your heated towel rail?,
Q51_1_1,When is your heated towel rail typically on (please select as many / as appropriate for both week days and weekend/holidays)?-Week days-7am-9am,
Q51_1_2,When is your heated towel rail typically on (please select as many / as appropriate for both week days and weekend/holidays)?-Week days-9am-12pm,
Q51_1_3,When is your heated towel rail typically on (please select as many / as appropriate for both week days and weekend/holidays)?-Week days-12pm-3pm,
Q51_1_4,When is your heated towel rail typically on (please select as many / as appropriate for both week days and weekend/holidays)?-Week days-3pm-6pm,
Q51_1_5,When is your heated towel rail typically on (please select as many / as appropriate for both week days and weekend/holidays)?-Week days-6pm-9pm,
Q51_1_6,When is your heated towel rail typically on (please select as many / as appropriate for both week days and weekend/holidays)?-Week days-9pm-7am,
Q51_2_1,When is your heated towel rail typically on (please select as many / as appropriate for both week days and weekend/holidays)?-Weekend/holidays-7am-9am,
Q51_2_2,When is your heated towel rail typically on (please select as many / as appropriate for both week days and weekend/holidays)?-Weekend/holidays-9am-12pm,
Q51_2_3,When is your heated towel rail typically on (please select as many / as appropriate for both week days and weekend/holidays)?-Weekend/holidays-12pm-3pm,
Q51_2_4,When is your heated towel rail typically on (please select as many / as appropriate for both week days and weekend/holidays)?-Weekend/holidays-3pm-6pm,
Q51_2_5,When is your heated towel rail typically on (please select as many / as appropriate for both week days and weekend/holidays)?-Weekend/holidays-6pm-9pm,
Q51_2_6,When is your heated towel rail typically on (please select as many / as appropriate for both week days and weekend/holidays)?-Weekend/holidays-9pm-7am,
Q52,What is the main reason you use your heated towel rail?,
Q56,Have you ever gone without heating/power because you felt unable to / pay for it?,
Q58#1_1,About you and your household members : Gender-You,
Q58#2_1,About you and your household members : Year of birth-You,
Q58#3_1,About you and your household members : Employment status-You,
Q58#4_1,About you and your household members : Highest educational qualification-You,
Q59#1_2,About you and your household members : Gender-The second member of your household,
Q59#2_2,About you and your household members : Year of birth-The second member of your household,
Q59#3_2,About you and your household members : Employment status-The second member of your household,
Q59#4_2,About you and your household members : Highest educational qualification-The second member of your household,
Q60#1_3,About you and your household members : Gender-The third member of your household,
Q60#2_3,About you and your household members : Year of birth-The third member of your household,
Q60#3_3,About you and your household members : Employment status-The third member of your household,
Q60#4_3,About you and your household members : Highest educational qualification-The third member of your household,
Q61#1_4,About you and your household members : Gender-The fourth member of your household,
Q61#2_4,About you and your household members : Year of birth-The fourth member of your household,
Q61#3_4,About you and your household members : Employment status-The fourth member of your household,
Q61#4_4,About you and your household members : Highest educational qualification-The fourth member of your household,
Q62#1_5,About you and your household members : Gender-The fifth member of your household,
Q62#2_5,About you and your household members : Year of birth-The fifth member of your household,
Q62#3_5,About you and your household members : Employment status-The fifth member of your household,
Q62#4_5,About you and your household members : Highest educational qualification-The fifth member of your household,
Q63#1_6,About you and your household members : Gender-The sixth member of your household,
Q63#2_6,About you and your household members : Year of birth-The sixth member of your household,
Q63#3_6,About you and your household members : Employment status-The sixth member of your household,
Q63#4_6,About you and your household members : Highest educational qualification-The sixth member of your household,
Q64#1_1,About you and your household members : Gender-The seventh member of your household,
Q64#2_1,About you and your household members : Year of birth-The seventh member of your household,
Q64#3_1,About you and your household members : Employment status-The seventh member of your household,
Q64#4_1,About you and your household members : Highest educational qualification-The seventh member of your household,
Q65#1_1,About you and your household members : Gender-The eighth member of your household,
Q65#2_1,About you and your household members : Year of birth-The eighth member of your household,
Q65#3_1,About you and your household members : Employment status-The eighth member of your household,
Q65#4_1,About you and your household members : Highest educational qualification-The eighth member of your household,
Q66#1_1,About you and your household members : Gender-The ninth member of your household,
Q66#2_1,About you and your household members : Year of birth-The ninth member of your household,
Q66#3_1,About you and your household members : Employment status-The ninth member of your household,
Q66#4_1,About you and your household members : Highest educational qualification-The ninth member of your household,
Q67#1_1,About you and your household members : Gender-The tenth member of your household,
Q67#2_1,About you and your household members : Year of birth-The tenth member of your household,
Q67#3_1,About you and your household members : Employment status-The tenth member of your household,
Q67#4_1,About you and your household members : Highest educational qualification-The tenth member of your household,
Q68#1_1,About you and your household members : Gender-The eleventh member of your household,
Q68#2_1,About you and your household members : Year of birth-The eleventh member of your household,
Q68#3_1,About you and your household members : Employment status-The eleventh member of your household,
Q68#4_1,About you and your household members : Highest educational qualification-The eleventh member of your household,
Q69#1_1,About you and your household members : Gender-The twelfth member of your household,
Q69#2_1,About you and your household members : Year of birth-The twelfth member of your household,
Q69#3_1,About you and your household members : Employment status-The twelfth member of your household,
Q69#4_1,About you and your household members : Highest educational qualification-The twelfth member of your household,
Q70,What is your ethnicity?,
Q71_1,"Below are five statements that you may agree or disagree with. / Using the 1 - 7 scale below, indicate your agreement with each item / by placing the appropriate number on the line preceding that item....-In most ways my life is close to my ideal",
Q71_2,"Below are five statements that you may agree or disagree with. / Using the 1 - 7 scale below, indicate your agreement with each item / by placing the appropriate number on the line preceding that item....-The conditions of my life are excellent",
Q71_3,"Below are five statements that you may agree or disagree with. / Using the 1 - 7 scale below, indicate your agreement with each item / by placing the appropriate number on the line preceding that item....-I am satisfied with my life",
